,node,ids
0,http://www.thehindu.com/,0
1,http://www.thehinduclassifieds.in/,1
2,http://www.thehindugroup.in/subscribe/,2
3,https://bit.ly/thiphone,3
4,https://frontline.thehindu.com/cover-story/article24704122.ece,4
5,https://play.google.com/store/apps/details?id=com.mobstac.thehindu,5
6,https://roofandfloor.thehindu.com/?utm_source=thehindu&amp;utm_medium=referral&amp;utm_campaign=Internal-Marketing,6
7,https://www.thehindu.com/,7
8,https://www.thehindu.com/aboutus/,8
9,https://www.thehindu.com/advertise-with-us/,9
10,https://www.thehindu.com/archive/,10
11,https://www.thehindu.com/bengali/editorial/,11
12,https://www.thehindu.com/books/,12
13,https://www.thehindu.com/brandhub/,13
14,https://www.thehindu.com/business/,14
15,https://www.thehindu.com/business/Economy/,15
16,https://www.thehindu.com/business/Economy/explained-understanding-curbs-on-rice-exports/article67253191.ece,16
17,https://www.thehindu.com/business/Industry/,17
18,https://www.thehindu.com/business/Industry/explained-the-debate-over-indias-smartphone-manufacturing-dreams/article67220769.ece,18
19,https://www.thehindu.com/business/Industry/explained-what-are-the-latest-revisions-to-the-process-for-acquiring-a-sim/article67216534.ece,19
20,https://www.thehindu.com/business/Industry/government-imposes-40-export-duty-on-onion-to-improve-local-supplies/article67213481.ece,20
21,https://www.thehindu.com/business/Industry/sp-global-india-manufacturing-pmi-signals-august-activity-hit-nearly-three-year-high/article67258786.ece,21
22,https://www.thehindu.com/business/Industry/vedanta-ran-covert-lobbying-campaign-to-weaken-environmental-laws-occrp/article67258821.ece,22
23,https://www.thehindu.com/business/agri-business/,23
24,https://www.thehindu.com/business/agri-business/explained-why-was-a-40-duty-imposed-on-onion-exports/article67239297.ece,24
25,https://www.thehindu.com/business/agri-business/onion-auction-to-remain-closed-indefinitely-in-nashik-wholesale-markets-to-protest-40-duty-on-export-traders/article67219725.ece,25
26,https://www.thehindu.com/business/budget/,26
27,https://www.thehindu.com/business/hindenburg-20-occrp-alleges-mauritius-based-opaque-funds-invested-millions-of-dollars-in-adani-stock/article67254422.ece,27
28,https://www.thehindu.com/business/markets/,28
29,https://www.thehindu.com/children/,29
30,https://www.thehindu.com/contacts/,30
31,https://www.thehindu.com/coupons/,31
32,https://www.thehindu.com/data/,32
33,https://www.thehindu.com/education/,33
34,https://www.thehindu.com/entertainment/,34
35,https://www.thehindu.com/entertainment/movies/,35
36,https://www.thehindu.com/entertainment/movies/friday-night-plan-movie-review-a-sweet-but-forgettable-sibling-dramedy/article67258709.ece,36
37,https://www.thehindu.com/entertainment/movies/goldfish-movie-review-deepti-naval-and-kalki-koechlin-shine-in-this-timely-take-on-dementia-and-damaged-relationships/article67258963.ece,37
38,https://www.thehindu.com/entertainment/movies/karumegangal-kalaigindrana-movie-review-screenwriting-blues-cloud-thankar-bachans-earnest-story/article67250982.ece,38
39,https://www.thehindu.com/entertainment/movies/paramporul-movie-review-a-wannabe-thriller-that-suffers-from-an-identity-crisis/article67257437.ece,39
40,https://www.thehindu.com/entertainment/movies/sapta-sagaradaache-ello-side-a-movie-review-rakshit-shetty-rukmini-vasanth-anchor-a-haunting-love-story/article67256021.ece,40
41,https://www.thehindu.com/entertainment/movies/the-multiple-shades-of-actor-bharathiraja-mani-ratnam-asked-me-if-i-was-interested-in-politics/article67246207.ece,41
42,https://www.thehindu.com/food/,42
43,https://www.thehindu.com/hindi/editorial/,43
44,https://www.thehindu.com/kannada/editorial/,44
45,https://www.thehindu.com/latest-news/,45
46,https://www.thehindu.com/life-and-style/,46
47,https://www.thehindu.com/life-and-style/food/,47
48,https://www.thehindu.com/malayalam/editorial/,48
49,https://www.thehindu.com/myaccount/,49
50,https://www.thehindu.com/myaccount/?tab=bookmarks,50
51,https://www.thehindu.com/news/,51
52,https://www.thehindu.com/news/cities/,52
53,https://www.thehindu.com/news/cities/Coimbatore/,53
54,https://www.thehindu.com/news/cities/Delhi/,54
